arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
buy8_sell3_B1,stress_buy90_sell90_buy5,4,4,0,0,1.0,92909.5,92764.5,145.0
buy8_sell3_B1,stress_sell5_buy10,4,4,0,0,1.0,99715.5,97884.5,1831.0
buy8_sell3_B1,stress_no_trade,4,4,0,0,1.0,141390.5,38976.0,102414.5
direct_buy5,stress_buy90_sell90_buy5,4,4,0,0,1.0,92890.0,92782.0,108.0
direct_buy5,stress_sell5_buy10,4,4,0,0,1.0,99714.5,97885.5,1829.0
direct_buy5,stress_no_trade,4,4,0,0,1.0,141390.5,38976.0,102414.5
buy10_sell5,stress_buy90_sell90_buy5,4,4,0,0,1.0,130224.0,106157.5,24066.5
buy10_sell5,stress_sell5_buy10,4,4,0,0,1.0,99715.5,97884.5,1831.0
buy10_sell5,stress_no_trade,4,4,0,0,1.0,141390.5,38976.0,102414.5
buy20_sell15,stress_buy90_sell90_buy5,4,4,0,0,1.0,99797.0,97697.5,2099.5
buy20_sell15,stress_sell5_buy10,4,4,0,0,1.0,99726.5,97862.0,1864.5
buy20_sell15,stress_no_trade,4,4,0,0,1.0,141390.5,38976.0,102414.5
sell3_buy8,stress_buy90_sell90_buy5,4,0,4,0,0.0,97923.0,99660.0,-1737.0
sell3_buy8,stress_sell5_buy10,4,0,4,0,0.0,111205.5,111207.5,-2.0
sell3_buy8,stress_no_trade,4,4,0,0,1.0,135946.0,39936.0,96010.0
