arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
melon_threshold,melon_threshold,4,0,0,4,0.5,100681.0,100681.0,0.0
melon_threshold,ahmed_v57,4,4,0,0,1.0,131566.5,113014.5,18552.0
melon_threshold,metav4,4,0,4,0,0.0,98868.0,100612.0,-1744.0
melon_threshold,order_book,4,4,0,0,1.0,131537.0,112916.0,18621.0
melon_threshold,herd_safe,4,0,4,0,0.0,98745.5,100947.0,-2201.5
ahmed_v57,melon_threshold,4,0,4,0,0.0,113014.5,131566.5,-18552.0
ahmed_v57,ahmed_v57,4,0,0,4,0.5,100605.5,100605.5,0.0
ahmed_v57,metav4,4,4,0,0,1.0,100618.5,100077.5,541.0
ahmed_v57,order_book,4,2,2,0,0.5,99993.0,100492.5,-499.5
ahmed_v57,herd_safe,4,0,4,0,0.0,99948.5,100813.5,-865.0
metav4,melon_threshold,4,4,0,0,1.0,100612.0,98868.0,1744.0
metav4,ahmed_v57,4,0,4,0,0.0,100077.5,100618.5,-541.0
metav4,metav4,4,0,0,4,0.5,100464.0,100464.0,0.0
metav4,order_book,4,0,4,0,0.0,100079.5,100432.0,-352.5
metav4,herd_safe,4,0,4,0,0.0,100044.0,100754.0,-710.0
