arm,opponent_family,games,wins,draws,losses,mean_score,mean_margin,mean_paired_score_delta_vs_c0
c0,qeinstein_moev2,10,10,0,0,1.0,12304.6,0.0
c0,mooman_e052a,10,10,0,0,1.0,8965.4,0.0
c0,smart_farm,10,10,0,0,1.0,9741.2,0.0
c0,souvik_v4,10,10,0,0,1.0,10354.2,0.0
b_simple,qeinstein_moev2,10,10,0,0,1.0,12007.8,0.0
b_simple,mooman_e052a,10,10,0,0,1.0,8636.5,0.0
b_simple,smart_farm,10,10,0,0,1.0,9466.2,0.0
b_simple,souvik_v4,10,10,0,0,1.0,10042.2,0.0
b_learned,qeinstein_moev2,10,10,0,0,1.0,12313.4,0.0
b_learned,mooman_e052a,10,10,0,0,1.0,8982.4,0.0
b_learned,smart_farm,10,10,0,0,1.0,9753.8,0.0
b_learned,souvik_v4,10,10,0,0,1.0,10371.2,0.0
