episode_id,role,crop,first_record_step,planted_day
112695730,opp,WHEAT,5,0
112695730,self,WHEAT,6,0
112695730,self,MELON,8,0
112695730,opp,STRAWBERRY,15,0
112695730,opp,MELON,18,0
112695730,self,STRAWBERRY,134,5
112695730,self,CARROT,592,24
112696878,self,WHEAT,6,0
112696878,self,MELON,8,0
112696878,opp,MELON,8,0
112696878,opp,WHEAT,9,0
112696878,self,STRAWBERRY,134,5
112696878,opp,STRAWBERRY,175,7
112696878,self,CARROT,607,25
112698041,self,WHEAT,6,0
112698041,opp,WHEAT,6,0
112698041,self,MELON,8,0
112698041,opp,MELON,8,0
112698041,self,STRAWBERRY,134,5
112698041,opp,STRAWBERRY,134,5
112698041,self,CARROT,549,22
112698041,opp,CARROT,592,24
112698051,self,WHEAT,6,0
112698051,opp,MELON,6,0
112698051,self,MELON,8,0
112698051,opp,WHEAT,8,0
112698051,opp,STRAWBERRY,78,3
112698051,self,STRAWBERRY,134,5
112698051,self,CARROT,592,24
112699185,self,WHEAT,6,0
112699185,self,MELON,8,0
112699185,opp,MELON,8,0
112699185,opp,WHEAT,14,0
112699185,opp,STRAWBERRY,108,4
112699185,self,STRAWBERRY,134,5
112699185,self,TOMATO,437,18
112699185,self,CARROT,592,24
112700362,self,WHEAT,6,0
112700362,opp,WHEAT,6,0
112700362,self,MELON,8,0
112700362,opp,MELON,9,0
112700362,opp,STRAWBERRY,132,5
112700362,self,STRAWBERRY,134,5
112700362,self,CARROT,453,18
112700362,opp,CARROT,525,21
112701496,self,WHEAT,6,0
112701496,opp,WHEAT,6,0
112701496,self,MELON,8,0
112701496,opp,MELON,8,0
112701496,self,STRAWBERRY,134,5
112701496,opp,STRAWBERRY,134,5
112701496,self,CARROT,501,20
112701496,opp,CARROT,501,20
112701506,self,WHEAT,6,0
112701506,opp,MELON,6,0
112701506,self,MELON,8,0
112701506,opp,WHEAT,8,0
112701506,opp,STRAWBERRY,78,3
112701506,self,STRAWBERRY,134,5
112701506,self,CARROT,592,24
112702653,opp,MELON,5,0
112702653,self,WHEAT,6,0
112702653,self,MELON,8,0
112702653,opp,WHEAT,13,0
112702653,opp,STRAWBERRY,133,5
112702653,self,STRAWBERRY,134,5
112702653,self,CARROT,592,24
112702653,opp,CARROT,607,25
112703812,opp,MELON,5,0
112703812,self,WHEAT,6,0
112703812,self,MELON,8,0
112703812,opp,WHEAT,13,0
112703812,self,STRAWBERRY,134,5
112703812,opp,STRAWBERRY,134,5
112703812,self,CARROT,592,24
112703812,opp,CARROT,592,24
112704959,self,WHEAT,6,0
112704959,self,MELON,8,0
112704959,opp,MELON,8,0
112704959,opp,WHEAT,14,0
112704959,self,STRAWBERRY,134,5
112704959,opp,STRAWBERRY,134,5
112704959,self,CARROT,592,24
112704959,opp,CARROT,592,24
112706103,self,WHEAT,6,0
