episode_id,seat,final_cash,quadrants,shed_CARROT,shed_COW,shed_EGG,shed_FERTILIZER,shed_GOOSE,shed_MELON,shed_MILK,shed_SHEEP,shed_STRAWBERRY,shed_TOMATO,shed_WHEAT,shed_WOOL,seeds_CARROT,seeds_MELON,seeds_STRAWBERRY,seeds_TOMATO,seeds_WHEAT,unspent_seed_face_cost
112695730,1,180695.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112696878,1,105019.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112698041,0,102111.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112698051,0,123460.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112699185,1,139881.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112700362,0,118308.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112701496,0,99687.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112701506,0,156189.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112702653,1,121751.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112703812,1,109986.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112704959,0,93185.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112706103,1,79464.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112707248,0,94187.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112708388,1,90034.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112709526,1,112027.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,40
112710679,1,86561.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112711880,1,107564.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30
112713015,0,151331.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112713547,1,74989.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112714306,1,83723.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112715478,1,105468.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112715910,1,62319.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112716679,0,91448.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112716680,0,85584.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112717862,0,104632.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112719043,1,94796.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112720203,1,118731.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20
112721366,1,64195.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112722513,0,110884.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112723670,0,101141.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,40
112724829,1,91537.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,110
112726090,0,110510.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112727153,0,113457.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112728327,0,95484.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112728524,0,118583.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112729476,0,140752.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112730657,1,94724.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112731810,1,132989.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112732949,1,74252.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112734114,1,74163.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30
112735281,0,89529.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112736426,1,125273.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112737645,0,110605.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112738825,0,92858.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112739509,1,109044.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112739956,1,81055.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112741280,0,73419.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112742461,1,90698.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112742491,0,133515.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112743618,1,93124.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112744949,1,103105.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112745961,1,100723.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112746444,0,99253.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112747130,1,104825.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112748339,1,97028.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112749509,1,108700.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112749577,1,69691.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
112750796,0,91249.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112751861,1,98372.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112752873,0,132294.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112754190,0,99939.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
112755365,1,107603.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
112756505,1,83698.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40
