arm,family,seed,seat,final_money,min_money,max_money,final_animals,max_animals,final_crops,max_crops,max_hands,primitive_total,passes,moves,harvests,feeds,cares,waters,plants
round4_learned,qeinstein_moev2,2026092421,0,64.0,0.0,3000.0,0,3,13,18,9,3498,1232,1835,36,0,0,170,99
round4_learned,qeinstein_moev2,2026092421,1,1130.0,0.0,3000.0,0,4,6,31,12,5724,1253,3649,77,23,23,348,150
round4_learned,smart_farm,2026092422,0,4.0,0.0,3000.0,0,3,14,20,10,4583,755,3188,32,8,7,293,100
round4_learned,smart_farm,2026092422,1,4082.0,0.0,4212.0,0,3,16,21,12,5241,1130,3267,73,0,0,425,131
round4_learned,qeinstein_moev2,2026092821,0,0.0,0.0,3000.0,0,3,17,18,12,3661,1295,1724,60,0,0,245,135
round4_learned,qeinstein_moev2,2026092821,1,2907.0,0.0,3000.0,2,4,13,33,14,5707,1081,3219,110,41,41,431,215
round4_learned,smart_farm,2026092822,0,7777.0,0.0,7927.0,1,3,42,53,14,6296,1165,3286,248,34,34,790,394
round4_learned,smart_farm,2026092822,1,3700.0,0.0,3700.0,0,3,21,21,15,5583,1278,3371,86,0,0,456,147
round4_rule,qeinstein_moev2,2026092421,0,3189.0,2940.0,3189.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,qeinstein_moev2,2026092421,1,3189.0,2940.0,3189.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,smart_farm,2026092422,0,3252.0,2940.0,3252.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,smart_farm,2026092422,1,3272.0,2940.0,3272.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,qeinstein_moev2,2026092821,0,3383.0,2940.0,3383.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,qeinstein_moev2,2026092821,1,3383.0,2940.0,3383.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,smart_farm,2026092822,0,3179.0,2940.0,3179.0,0,0,1,1,0,719,660,0,14,0,0,30,15
round4_rule,smart_farm,2026092822,1,3179.0,2940.0,3179.0,0,0,1,1,0,719,660,0,14,0,0,30,15
