arm,opponent_id,opponent_family,seed,seat,baseline_result,candidate_result,transition,delta_points,delta_self_cash,delta_opp_cash,delta_margin,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,full_trajectory_identical
cw1_conditional_wool,B1,herd_safe,532609241,0,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609241,1,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609242,0,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609242,1,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609243,0,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609243,1,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609244,0,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,B1,herd_safe,532609244,1,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609241,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609241,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609242,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609243,0,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609243,1,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609244,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,metav4,metav4,532609244,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,order_book,order_book,532609241,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,order_book,order_book,532609241,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
cw1_conditional_wool,order_book,order_book,532609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
