arm,games,games_with_reported_changes,metric,total,per_game
B1,32,0,opening_calls,32.0,1.0
B1,32,0,opening_stock_ok,32.0,1.0
B1,32,0,parent.fertilizer.capped,16.0,0.5
B1,32,0,parent.fertilizer.covered,40.0,1.25
B1,32,0,parent.fertilizer.errors,0.0,0.0
B1,32,0,parent.fertilizer.skips,56.0,1.75
B1,32,0,parent.rescue.aborted,0.0,0.0
B1,32,0,parent.rescue.accepted,16.0,0.5
B1,32,0,parent.rescue.changed_steps,100.0,3.125
B1,32,0,parent.rescue.errors,0.0,0.0
B1,32,0,parent.rescue.max_planning_ms,1038.5987000190653,32.45620937559579
B1,32,0,parent.rescue.planning_calls,32.0,1.0
B1,32,0,parent.rescue.shadow_declines,16.0,0.5
B1,32,0,parent.seed_budget.changed_turns,200.0,6.25
B1,32,0,parent.seed_budget.cut_units,1008.0,31.5
B1,32,0,parent.seed_budget.errors,0.0,0.0
B1,32,0,parent.seed_budget.saved_cost,20160.0,630.0
cw1_conditional_wool,32,8,calls,23008.0,719.0
cw1_conditional_wool,32,8,changes,8.0,0.25
cw1_conditional_wool,32,8,eligible,23008.0,719.0
cw1_conditional_wool,32,8,errors,0.0,0.0
cw1_conditional_wool,32,8,open_attempts,8.0,0.25
cw1_conditional_wool,32,8,reserved_units,24.0,0.75
wool_gate_open_control,32,0,calls,23008.0,719.0
wool_gate_open_control,32,0,errors,0.0,0.0
