arm,opponent_family,opponent_id,seed,seat,reference_result,candidate_result,transition,reference_margin,candidate_margin,margin_delta,self_cash_delta,opp_cash_delta
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092421,0,L,L,L->L,-24.0,-20.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092421,1,L,L,L->L,-24.0,-20.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092422,0,W,W,W->W,365.0,369.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092422,1,W,W,W->W,506.0,510.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092423,0,W,W,W->W,23.0,27.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092423,1,W,W,W->W,23.0,27.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092424,0,W,W,W->W,17.0,21.0,4.0,2.0,-2.0
B2_buy10_sell5,ahmed_route,ahmed_v57,2026092424,1,W,W,W->W,17.0,21.0,4.0,2.0,-2.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092421,0,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092421,1,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092422,0,L,L,L->L,-74.0,-76.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092422,1,W,W,W->W,74.0,72.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092423,0,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092423,1,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092424,0,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,herd_safe,herd_safe_B1,2026092424,1,T,L,T->L,0.0,-2.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092421,0,W,W,W->W,1055.0,1053.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092421,1,W,W,W->W,1055.0,1053.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092422,0,W,W,W->W,3214.0,3212.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092422,1,W,W,W->W,3388.0,3386.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092423,0,W,W,W->W,8806.0,8804.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092423,1,W,W,W->W,8806.0,8804.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092424,0,W,W,W->W,5081.0,5079.0,-2.0,-1.0,1.0
B2_buy10_sell5,melon_threshold,melon_threshold,2026092424,1,W,W,W->W,5081.0,5079.0,-2.0,-1.0,1.0
B2_buy10_sell5,metav4,metav4,2026092421,0,W,W,W->W,384.0,388.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092421,1,W,W,W->W,384.0,388.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092422,0,W,W,W->W,602.0,606.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092422,1,W,W,W->W,754.0,758.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092423,0,W,W,W->W,371.0,375.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092423,1,W,W,W->W,371.0,375.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092424,0,W,W,W->W,321.0,325.0,4.0,2.0,-2.0
B2_buy10_sell5,metav4,metav4,2026092424,1,W,W,W->W,321.0,325.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092421,0,W,W,W->W,199.0,203.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092421,1,W,W,W->W,199.0,203.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092422,0,W,W,W->W,1.0,5.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092422,1,W,W,W->W,149.0,153.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092423,0,W,W,W->W,62.0,66.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092423,1,W,W,W->W,62.0,66.0,4.0,2.0,-2.0
B2_buy10_sell5,order_book,order_book,2026092424,0,W,W,W->W,10.0,14.0,4.0,2.0,-2.0
