arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B1_buy8_sell3,herd_safe_B1,8,1,1,6,0.5,92278.5,92278.5,0.0
B1_buy8_sell3,ahmed_v57,8,6,2,0,0.75,92312.75,92199.875,112.875
B1_buy8_sell3,metav4,8,8,0,0,1.0,92381.125,91942.625,438.5
B1_buy8_sell3,melon_threshold,8,8,0,0,1.0,94865.25,90304.5,4560.75
B1_buy8_sell3,order_book,8,8,0,0,1.0,92281.0,92194.5,86.5
B1_buy8_sell3,qeinstein_moev2,8,8,0,0,1.0,87296.625,67646.0,19650.625
B2_buy10_sell5,herd_safe_B1,8,1,7,0,0.125,92277.5,92279.5,-2.0
B2_buy10_sell5,ahmed_v57,8,6,2,0,0.75,92314.75,92197.875,116.875
B2_buy10_sell5,metav4,8,8,0,0,1.0,92383.125,91940.625,442.5
B2_buy10_sell5,melon_threshold,8,8,0,0,1.0,94864.25,90305.5,4558.75
B2_buy10_sell5,order_book,8,8,0,0,1.0,92283.0,92192.5,90.5
B2_buy10_sell5,qeinstein_moev2,8,8,0,0,1.0,90262.25,69797.375,20464.875
