episode_id,target_submission,opponent_submission,opponent_rating,result,margin,revenue_delta_WHEAT,qty_effect_WHEAT,price_effect_WHEAT,revenue_delta_FERTILIZER,qty_effect_FERTILIZER,price_effect_FERTILIZER,revenue_delta_WOOL,qty_effect_WOOL,price_effect_WOOL,revenue_delta_MILK,qty_effect_MILK,price_effect_MILK,revenue_delta_STRAWBERRY,qty_effect_STRAWBERRY,price_effect_STRAWBERRY,revenue_delta_TOMATO,qty_effect_TOMATO,price_effect_TOMATO,revenue_delta_CARROT,qty_effect_CARROT,price_effect_CARROT,revenue_delta_EGG,qty_effect_EGG,price_effect_EGG,revenue_delta_MELON,qty_effect_MELON,price_effect_MELON,cost_saving_HIRE,cost_saving_BUY_LAND,cost_saving_BUY_SEED,cost_saving_BUY_PRODUCT,cost_saving_BUY_ANIMAL
111040483,56357320,56372435,1575.4725,win,8460.0,-4738,-4862.553977798336,124.55397779833525,4504,6410.590886699508,-1906.590886699508,12796,12424.028767895154,371.9712321048487,1625,-278.0392372455391,1903.0392372455394,1342,1889.3051035781546,-547.3051035781548,-3735,-3734.9999999999995,0.0,-3843,-3712.3156779661017,-130.68432203389855,-4531,-4531.0,0.0,4280,0.0,4279.999999999999,278,0,650,-1068,900
111035739,56357320,56374496,1690.2298,loss,-7030.0,-3539,-2998.609818240831,-540.3901817591678,384,218.48307693626947,165.51692306373073,15,3001.0879446640315,-2986.0879446640306,1129,3581.577127454755,-2452.5771274547565,1587,1434.2611445783134,152.73885542168256,0,0.0,0.0,-3346,-3228.4627457197207,-117.53725428027956,-4445,-4504.740662603532,59.74066260353193,0,0.0,0.0,911,0,340,134,-200
111019687,56357320,56183186,1641.606,win,2003.0,-214,-295.98788382914944,81.98788382914864,-100,-210.56852635436798,110.5685263543698,869,-45.1646350931677,914.1646350931682,-318,-152.38875755187814,-165.61124244812214,-607,-158.98868347885468,-448.0113165211453,0,0.0,0.0,2571,2818.054954954955,-247.05495495495316,-51,-57.89060939060939,6.890609390609441,0,0.0,0.0,-432,0,0,285,0
110999931,56357320,56151149,1571.6565,win,8205.0,-1765,-1800.2573470363718,35.257347036371414,-52,-292.9306581879723,240.9306581879729,5886,5664.864916229058,221.13508377094172,3386,2505.790502354788,880.209497645212,226,0.0,226.0000000000037,0,0.0,0.0,-371,-490.7321428571429,119.73214285714313,164,132.97008547008545,31.029914529914326,0,0.0,0.0,356,0,0,375,0
110979990,56357320,56369836,1597.2321,win,6205.0,1791,1527.6157290500612,263.3842709499399,-182,169.87235912517326,-351.87235912517184,-38,-2485.285445532728,2447.285445532728,1374,2210.3988721804512,-836.3988721804521,267,187.1547224755596,79.84527752443782,0,0.0,0.0,4384,4400.503587736465,-16.503587736464524,-231,-225.39120126448893,-5.608798735510987,0,0.0,0.0,-822,0,-350,-88,100
110978058,56357320,56227367,1643.0549,win,1422.0,1207,1114.3868956881533,92.61310431184748,573,330.17268178060135,242.82731821939745,377,-106.69054980079682,483.690549800798,1495,0.0,1494.9999999999982,103,-496.84887530028396,599.8488753002841,0,0.0,0.0,-54,0.0,-54.000000000000256,0,0.0,0.0,-47,0.0,-46.999999999999545,-199,0,-80,-1953,0
110957591,56357320,56268698,1613.4721,loss,-2086.0,378,762.1767734282325,-384.1767734282319,-75,-82.62362616945906,7.623626169459612,-294,0.0,-294.0000000000016,142,123.96646146061731,18.033538539382164,-1613,-975.1856314145471,-637.8143685854576,0,0.0,0.0,-12,0.0,-12.000000000000853,-58,0.0,-57.9999999999999,0,0.0,0.0,0,0,0,-554,0
110937716,56357320,56300982,1640.0469,win,5402.0,875,889.4491649150419,-14.449164915042907,184,83.19670117879073,100.80329882120914,3928,-1175.4598724443788,5103.4598724443795,593,-997.5393278948009,1590.5393278948006,198,-1442.8149678993107,1640.814967899311,0,0.0,0.0,12,0.0,12.000000000000256,0,0.0,0.0,0,0.0,0.0,-288,0,0,-100,0
110933372,56357320,56177577,1648.6291,win,10900.0,2747,2648.3580094826857,98.64199051731447,-589,-373.1953986178999,-215.80460138209978,16906,16439.09548395445,466.90451604554625,15,-1593.4978405315617,1608.4978405315615,-770,-226.27139262443967,-543.7286073755608,0,0.0,0.0,2730,2862.2404485049838,-132.2404485049836,-4774,-4774.0,0.0,-47,0.0,-46.999999999999545,-2063,0,-270,-2185,-800
110914648,56357320,56361303,1563.6423,win,28455.0,-5461,-5026.444217735239,-434.55578226476126,5069,8118.366223908919,-3049.3662239089194,45900,44065.50951724138,1834.4904827586188,1443,-913.3542409123307,2356.3542409123315,-6113,776.8062113827029,-6889.806211382702,-2346,-2346.0,0.0,-8912,-7814.7077922077915,-1097.2922077922085,-4445,-4445.0,0.0,3954,0.0,3954.0000000000014,-86,0,1490,-338,-1700
