episode_id,target_submission,seat,result,episode_type,opponent_rating,day,money,opponent_money,margin,land,hands_max,COW,SHEEP,GOOSE,WHEAT,CARROT,TOMATO,STRAWBERRY,MELON,unfed_end,uncared_end,unwatered_end
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,0,3000.0,3000.0,0.0,1,5,0,0,0,0,0,0,0,0,2,1,0
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,1,24.0,13.0,11.0,1,3,2,2,0,7,0,0,0,12,0,0,12
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,2,82.0,10.0,72.0,1,4,2,2,0,7,0,0,0,12,1,0,0
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,3,191.0,29.0,162.0,1,5,3,2,0,7,0,0,0,12,2,0,0
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,4,271.0,487.0,-216.0,1,4,4,2,0,7,0,0,0,12,1,0,12
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,5,671.0,590.0,81.0,1,4,4,2,0,7,0,0,0,12,0,0,3
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,6,781.0,1184.0,-403.0,1,7,4,2,0,3,0,0,4,12,0,0,10
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,7,702.0,584.0,118.0,2,8,6,2,0,5,0,0,12,12,3,0,9
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,8,213.0,621.0,-408.0,2,9,6,4,0,9,0,0,16,12,1,0,8
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,9,767.0,2489.0,-1722.0,2,9,6,6,0,5,0,0,20,12,1,0,3
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,10,3431.0,1009.0,2422.0,2,11,6,7,0,5,0,0,20,12,0,0,25
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,11,17323.0,7143.0,10180.0,2,11,6,9,0,12,0,0,20,0,4,0,5
111040483,56357320,1,win,EPISODE_TYPE_PUBLIC,1575.4725,12,15992.0,9432.0,6560.0,3,9,6,10,0,20,0,0,33,0,0,0,29
