group,product,n_cash_reconciled,mean_units_sold,mean_revenue,weighted_sale_price,mean_floor_units,floor_unit_share
Top1,WHEAT,578,432.2664359861592,16001.465397923876,37.01759855913548,0.0,0.0
Top1,CARROT,578,153.30622837370242,7129.660899653979,46.506009411924026,0.0,0.0
Top1,TOMATO,578,67.34602076124567,5805.285467128027,86.20086831423727,0.0,0.0
Top1,STRAWBERRY,578,214.2750865051903,34869.21453287197,162.73107201395226,0.5588235294117647,0.0026079724830643273
Top1,MELON,578,71.58650519031141,13875.307958477508,193.82574860429708,0.0,0.0
Top1,EGG,578,47.69031141868512,2424.712802768166,50.84288046435697,0.0,0.0
Top1,MILK,578,209.4515570934256,21786.576124567473,104.01725547855249,8.185121107266436,0.039078826726580376
Top1,WOOL,578,136.6833910034602,20581.413494809687,150.57728187537182,7.449826989619377,0.054504259331924106
Top1,FERTILIZER,578,197.3719723183391,11838.69723183391,59.9816533866288,2.667820069204152,0.013516711810029716
Top2,WHEAT,131,499.8854961832061,17973.236641221374,35.95470718485149,0.0,0.0
Top2,CARROT,131,146.65648854961833,6881.496183206107,46.92254840724547,0.0,0.0
Top2,TOMATO,131,65.29007633587786,5348.923664122138,81.92552320823103,0.0,0.0
Top2,STRAWBERRY,131,208.4732824427481,29985.358778625956,143.83310142804834,0.916030534351145,0.004393994873672647
Top2,MELON,131,70.85496183206106,13425.625954198473,189.48039215686273,0.1450381679389313,0.0020469726352079294
Top2,EGG,131,67.40458015267176,3458.587786259542,51.31087202718007,0.0,0.0
Top2,MILK,131,193.33587786259542,20580.053435114503,106.44715126149958,4.641221374045801,0.024006001500375095
Top2,WOOL,131,150.98473282442748,22752.67175572519,150.69518175843066,5.9541984732824424,0.03943576520552101
Top2,FERTILIZER,131,202.22137404580153,11761.198473282442,58.16001660941452,3.6030534351145036,0.017817371937639197
Top3,WHEAT,151,293.4172185430464,11525.298013245034,39.27955581636799,0.0,0.0
Top3,CARROT,151,125.5364238410596,6539.211920529801,52.090156151086724,0.0,0.0
Top3,TOMATO,151,93.19205298013244,7727.0,82.91479533826038,0.0,0.0
Top3,STRAWBERRY,151,187.50993377483445,30615.2119205298,163.27248004520732,0.24503311258278146,0.0013067740340467614
Top3,MELON,151,91.64900662251655,15438.403973509934,168.45140544837054,0.0,0.0
Top3,EGG,151,155.28476821192052,7715.887417218543,49.688630160354826,0.0,0.0
Top3,MILK,151,181.81456953642385,22497.56953642384,123.73909084286443,2.1788079470198674,0.01198368179500255
Top3,WOOL,151,163.98013245033113,28040.01324503311,170.9964056378983,5.443708609271523,0.033197366826864826
Top3,FERTILIZER,151,266.6622516556291,13555.41059602649,50.833631351512444,2.8211920529801326,0.01057964535836686
v124,WHEAT,157,382.0509554140127,14974.146496815287,39.19410823246974,0.0,0.0
v124,CARROT,157,88.01273885350318,5214.796178343949,59.250470400926325,0.0,0.0
v124,TOMATO,157,10.159235668789808,1848.8853503184714,181.99059561128527,0.0,0.0
v124,STRAWBERRY,157,243.84713375796179,30092.535031847136,123.40737644969178,31.05095541401274,0.12733779124438407
v124,MELON,157,71.13375796178345,14439.898089171975,202.9964183381089,0.0,0.0
v124,EGG,157,63.394904458598724,3454.0382165605097,54.48447704209786,0.0,0.0
v124,MILK,157,225.40764331210192,19661.71974522293,87.22738704117099,40.70063694267516,0.1805645822148125
v124,WOOL,157,167.54777070063693,19019.101910828027,113.51450294620794,53.30573248407644,0.3181524425014256
v124,FERTILIZER,157,340.0700636942675,15044.649681528663,44.23985315877208,30.43949044585987,0.08950946788784626
