group,crop,count,median,min,max
Top1,CARROT,564,18.0,6,27
Top1,MELON,578,0.0,0,0
Top1,STRAWBERRY,578,2.0,1,3
Top1,TOMATO,575,12.0,6,19
Top1,WHEAT,578,0.0,0,0
Top2,CARROT,123,18.0,6,26
Top2,MELON,131,0.0,0,0
Top2,STRAWBERRY,131,2.0,2,2
Top2,TOMATO,128,11.0,6,18
Top2,WHEAT,131,0.0,0,0
Top3,CARROT,152,11.0,11,24
Top3,MELON,152,0.0,0,0
Top3,STRAWBERRY,152,2.0,2,2
Top3,TOMATO,152,11.0,11,18
Top3,WHEAT,152,0.0,0,0
v124,CARROT,157,24.0,21,27
v124,MELON,157,0.0,0,0
v124,STRAWBERRY,157,5.0,5,5
v124,TOMATO,20,18.0,18,18
v124,WHEAT,157,0.0,0,0
