episode_id,sid,seat,death_t,death_day,x,y,animal,lost_yield,placed_day,next_crop,next_crop_t
110979990,56357320,1,648,27,3,2,GOOSE,1,10,,
110873211,56357320,1,360,15,4,2,COW,0,2,,
110873211,56357320,1,360,15,4,3,COW,0,0,,
110851086,56357320,1,648,27,3,2,GOOSE,1,10,,
110847763,56357320,1,648,27,3,2,GOOSE,1,10,,
110843364,56357320,1,624,26,2,4,COW,0,3,,
110824511,56357320,0,288,12,5,2,SHEEP,0,7,,
110824511,56357320,0,288,12,5,3,COW,0,6,,
110824511,56357320,0,288,12,5,4,COW,0,6,,
110824511,56357320,0,288,12,6,4,SHEEP,0,7,,
110823089,56357320,1,528,22,5,3,GOOSE,0,6,,
111046517,56360233,1,216,9,5,2,COW,0,7,,
111046517,56360233,1,216,9,6,4,COW,0,7,,
111046517,56360233,1,288,12,5,3,COW,0,6,,
111046517,56360233,1,288,12,5,4,COW,0,6,,
111007532,56360233,0,288,12,5,2,SHEEP,0,7,,
111007532,56360233,0,288,12,5,3,COW,0,6,,
111007532,56360233,0,288,12,5,4,COW,0,6,,
111007532,56360233,0,288,12,6,4,SHEEP,0,7,,
110967571,56360233,1,648,27,3,2,GOOSE,1,10,,
110946332,56360233,0,48,2,4,3,COW,0,0,,
110946332,56360233,0,48,2,4,4,COW,0,0,,
110897185,56360233,0,456,19,6,2,SHEEP,0,9,,
110883974,56360233,0,216,9,6,4,COW,0,7,,
110874008,56360233,0,648,27,3,2,GOOSE,1,10,,
110872911,56360233,1,216,9,6,4,COW,0,7,,
110858561,56360233,0,648,27,3,2,GOOSE,1,10,,
111081494,56361903,1,672,28,4,3,SHEEP,0,0,,
111081494,56361903,1,672,28,2,4,SHEEP,6,0,,
111081494,56361903,1,672,28,3,4,SHEEP,6,0,,
111081491,56361903,1,696,29,4,3,SHEEP,0,0,,
111081491,56361903,1,696,29,2,4,SHEEP,0,0,,
111081491,56361903,1,696,29,3,4,SHEEP,0,0,,
111075160,56361903,1,696,29,6,3,SHEEP,0,6,,
111075160,56361903,1,696,29,2,4,SHEEP,0,0,,
111075160,56361903,1,696,29,3,4,SHEEP,0,0,,
111075160,56361903,1,696,29,6,4,SHEEP,0,6,,
111075166,56361903,0,456,19,8,3,SHEEP,0,8,WHEAT,480.0
111075166,56361903,0,528,22,5,2,COW,0,6,WHEAT,552.0
111075166,56361903,0,528,22,8,4,SHEEP,0,8,WHEAT,552.0
111075166,56361903,0,552,23,7,3,SHEEP,0,6,WHEAT,600.0
111075166,56361903,0,576,24,6,2,COW,0,8,WHEAT,600.0
111075166,56361903,0,672,28,4,3,SHEEP,0,0,,
111075166,56361903,0,672,28,2,4,SHEEP,6,0,,
111075166,56361903,0,672,28,3,4,SHEEP,1,0,,
111075166,56361903,0,696,29,4,6,COW,0,9,,
111069610,56361903,1,432,18,5,3,COW,0,6,WHEAT,480.0
111069610,56361903,1,576,24,5,2,COW,6,6,,
111069610,56361903,1,672,28,7,3,SHEEP,0,6,,
111069610,56361903,1,696,29,2,2,SHEEP,0,12,,
111069610,56361903,1,696,29,4,3,SHEEP,0,0,,
111069610,56361903,1,696,29,6,3,SHEEP,0,6,,
111069610,56361903,1,696,29,2,4,SHEEP,0,0,,
111069610,56361903,1,696,29,3,4,SHEEP,0,0,,
111069610,56361903,1,696,29,5,4,SHEEP,0,6,,
111069610,56361903,1,696,29,6,4,SHEEP,0,6,,
111069610,56361903,1,696,29,3,5,COW,0,9,,
111069610,56361903,1,696,29,4,6,SHEEP,0,9,,
111069611,56361903,1,528,22,5,2,COW,0,6,WHEAT,552.0
111069611,56361903,1,528,22,6,2,COW,0,8,WHEAT,552.0
111069611,56361903,1,528,22,4,7,COW,0,10,CARROT,552.0
111069611,56361903,1,696,29,4,3,SHEEP,0,0,,
111069611,56361903,1,696,29,2,4,SHEEP,0,0,,
111069611,56361903,1,696,29,3,4,SHEEP,0,0,,
111069611,56361903,1,696,29,3,5,COW,0,9,,
111069611,56361903,1,696,29,4,5,COW,2,9,,
111069611,56361903,1,696,29,4,6,COW,0,9,,
111069606,56361903,1,528,22,5,2,COW,0,6,WHEAT,552.0
111069606,56361903,1,528,22,6,2,COW,0,8,WHEAT,552.0
111069606,56361903,1,672,28,4,3,SHEEP,0,0,,
111069606,56361903,1,672,28,2,4,SHEEP,6,0,,
111069606,56361903,1,672,28,3,4,SHEEP,6,0,,
111063983,56361903,1,672,28,4,3,SHEEP,0,0,,
111063983,56361903,1,672,28,2,4,SHEEP,6,0,,
111063983,56361903,1,672,28,3,4,SHEEP,6,0,,
111063986,56361903,1,528,22,5,2,COW,0,6,WHEAT,552.0
111063986,56361903,1,672,28,4,3,SHEEP,0,0,,
111063986,56361903,1,672,28,2,4,SHEEP,6,0,,
111063986,56361903,1,672,28,3,4,SHEEP,6,0,,
111063979,56361903,1,672,28,4,3,SHEEP,0,0,,
111063979,56361903,1,672,28,2,4,SHEEP,6,0,,
111063979,56361903,1,672,28,3,4,SHEEP,6,0,,
111063979,56361903,1,696,29,3,5,COW,0,9,,
111063979,56361903,1,696,29,4,5,COW,0,9,,
111058336,56361903,1,672,28,4,3,SHEEP,0,0,,
111058336,56361903,1,672,28,2,4,SHEEP,6,0,,
111058336,56361903,1,672,28,3,4,SHEEP,6,0,,
111058341,56361903,0,456,19,8,3,SHEEP,0,8,WHEAT,480.0
111058341,56361903,0,504,21,8,4,SHEEP,0,8,WHEAT,528.0
111058341,56361903,0,528,22,7,3,SHEEP,1,6,WHEAT,552.0
111058341,56361903,0,672,28,4,3,SHEEP,0,0,,
111058341,56361903,0,672,28,2,4,SHEEP,0,0,,
111058341,56361903,0,672,28,3,4,SHEEP,1,0,,
111058341,56361903,0,696,29,6,2,SHEEP,0,7,,
111052856,56361903,0,528,22,5,2,COW,0,6,WHEAT,552.0
111052856,56361903,0,528,22,6,2,COW,0,8,WHEAT,552.0
111052856,56361903,0,648,27,5,3,COW,0,6,,
111052856,56361903,0,648,27,5,4,COW,0,6,,
111052856,56361903,0,696,29,2,4,SHEEP,0,0,,
111052856,56361903,0,696,29,3,4,SHEEP,0,0,,
111052866,56361903,0,696,29,4,3,SHEEP,0,0,,
111052866,56361903,0,696,29,2,4,SHEEP,0,0,,
111052866,56361903,0,696,29,3,4,SHEEP,0,0,,
111047335,56361903,1,552,23,2,2,COW,0,12,WHEAT,600.0
111047335,56361903,1,696,29,4,3,SHEEP,0,0,,
111047335,56361903,1,696,29,2,4,SHEEP,0,0,,
111047335,56361903,1,696,29,3,4,SHEEP,0,0,,
111047346,56361903,0,480,20,7,2,COW,0,8,WHEAT,504.0
111047346,56361903,0,528,22,5,2,COW,0,6,WHEAT,552.0
111047346,56361903,0,528,22,6,2,COW,0,7,WHEAT,552.0
111047346,56361903,0,696,29,4,3,SHEEP,0,0,,
111047346,56361903,0,696,29,2,4,SHEEP,0,0,,
111047346,56361903,0,696,29,3,4,SHEEP,0,0,,
111047346,56361903,0,696,29,3,5,COW,0,9,,
111047346,56361903,0,696,29,4,5,COW,0,9,,
111047346,56361903,0,696,29,4,6,COW,2,9,,
111047337,56361903,0,672,28,4,3,SHEEP,0,0,,
111047337,56361903,0,672,28,2,4,SHEEP,6,0,,
111047337,56361903,0,672,28,3,4,SHEEP,6,0,,
111041914,56361903,0,576,24,4,8,SHEEP,0,10,CARROT,600.0
111041914,56361903,0,672,28,1,3,SHEEP,0,10,,
111041914,56361903,0,672,28,4,3,SHEEP,0,0,,
111041914,56361903,0,672,28,2,4,SHEEP,4,0,,
111041914,56361903,0,672,28,3,4,SHEEP,1,0,,
111041914,56361903,0,696,29,4,6,SHEEP,0,9,,
111041914,56361903,0,696,29,4,7,SHEEP,0,10,,
111036533,56361903,1,528,22,7,3,SHEEP,3,8,WHEAT,552.0
111036533,56361903,1,528,22,8,4,SHEEP,0,8,WHEAT,552.0
111036533,56361903,1,576,24,5,2,COW,0,6,WHEAT,600.0
111036533,56361903,1,576,24,6,2,COW,0,8,WHEAT,600.0
111036533,56361903,1,624,26,2,2,COW,0,12,CARROT,648.0
111036533,56361903,1,624,26,4,7,COW,0,10,CARROT,648.0
111036533,56361903,1,624,26,4,8,COW,0,10,CARROT,648.0
111036533,56361903,1,672,28,4,3,SHEEP,0,0,,
111036533,56361903,1,672,28,2,4,SHEEP,4,0,,
111036533,56361903,1,672,28,3,4,SHEEP,3,0,,
111036533,56361903,1,696,29,3,5,COW,0,9,,
111036533,56361903,1,696,29,4,5,COW,0,9,,
111036533,56361903,1,696,29,4,6,COW,0,9,,
111036531,56361903,0,528,22,5,2,COW,0,6,WHEAT,552.0
111036531,56361903,0,672,28,5,3,COW,0,6,,
111036531,56361903,0,696,29,4,3,SHEEP,0,0,,
111036531,56361903,0,696,29,6,3,SHEEP,0,6,,
111036531,56361903,0,696,29,2,4,SHEEP,0,0,,
111036531,56361903,0,696,29,3,4,SHEEP,0,0,,
111036531,56361903,0,696,29,5,4,SHEEP,0,6,,
111036531,56361903,0,696,29,3,5,COW,0,9,,
111036531,56361903,0,696,29,4,5,SHEEP,0,9,,
111031246,56361903,0,528,22,5,2,COW,0,6,WHEAT,552.0
