arm,opponent_id,opponent_family,seed,seat,baseline_result,candidate_result,transition,delta_points,delta_self_cash,delta_opp_cash,delta_margin,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,full_trajectory_identical
master_hybrid,B1,herd_safe,512609241,0,T,W,T->W,0.5,160.0,71.0,89.0,35,2,35,10,False
master_hybrid,B1,herd_safe,512609241,1,T,W,T->W,0.5,160.0,71.0,89.0,35,2,35,10,False
master_hybrid,B1,herd_safe,512609242,0,T,L,T->L,-0.5,-333.0,21.0,-354.0,34,4,32,1,False
master_hybrid,B1,herd_safe,512609242,1,T,L,T->L,-0.5,-333.0,21.0,-354.0,34,4,32,1,False
master_hybrid,B1,herd_safe,512609243,0,T,L,T->L,-0.5,-55.0,-17.0,-38.0,40,4,40,1,False
master_hybrid,B1,herd_safe,512609243,1,T,L,T->L,-0.5,-55.0,-17.0,-38.0,40,4,40,1,False
master_hybrid,B1,herd_safe,512609244,0,T,W,T->W,0.5,-33.0,-50.0,17.0,36,7,34,7,False
master_hybrid,B1,herd_safe,512609244,1,T,W,T->W,0.5,-33.0,-50.0,17.0,36,7,34,7,False
master_hybrid,metav4,metav4,512609241,0,W,W,W->W,0.0,-60.0,-79.0,19.0,32,2,32,3,False
master_hybrid,metav4,metav4,512609241,1,W,W,W->W,0.0,-60.0,-79.0,19.0,32,2,32,3,False
master_hybrid,metav4,metav4,512609242,0,W,W,W->W,0.0,-316.0,22.0,-338.0,34,4,32,3,False
master_hybrid,metav4,metav4,512609242,1,W,W,W->W,0.0,-316.0,22.0,-338.0,34,4,32,3,False
master_hybrid,metav4,metav4,512609243,0,W,W,W->W,0.0,-56.0,-13.0,-43.0,39,3,39,2,False
master_hybrid,metav4,metav4,512609243,1,W,W,W->W,0.0,-56.0,-13.0,-43.0,39,3,39,2,False
master_hybrid,metav4,metav4,512609244,0,W,W,W->W,0.0,-70.0,31.0,-101.0,25,6,22,2,False
master_hybrid,metav4,metav4,512609244,1,W,W,W->W,0.0,-70.0,31.0,-101.0,25,6,22,2,False
master_hybrid,order_book,order_book,512609241,0,W,W,W->W,0.0,158.0,59.0,99.0,35,2,35,10,False
master_hybrid,order_book,order_book,512609241,1,W,W,W->W,0.0,158.0,59.0,99.0,35,2,35,10,False
master_hybrid,order_book,order_book,512609242,0,W,W,W->W,0.0,-327.0,29.0,-356.0,34,4,32,1,False
master_hybrid,order_book,order_book,512609242,1,W,W,W->W,0.0,-327.0,29.0,-356.0,34,4,32,1,False
