family,seed,seat,selected_step,job,original_value,original_risk,original_pass_gate,zero_constant_value,zero_constant_risk,zero_constant_pass_gate,clip10_value,clip10_risk,clip10_pass_gate,zero_constant_clip10_value,zero_constant_clip10_risk,zero_constant_clip10_pass_gate
mooman_e052a,2026092421,0,279,FERTILIZE_WATER,1.9540984630584717,9.357623589846195e-14,True,14.686360359191895,2.7035039238398895e-06,True,-5.981450080871582,0.030583351850509644,False,3.151118516921997,0.004313772544264793,True
mooman_e052a,2026092421,1,281,FERTILIZE_WATER,10.403629302978516,9.357623589846195e-14,True,12.395588874816895,8.759643606026657e-06,True,-7.635186195373535,0.0029033564496785402,False,1.94939124584198,0.011351590044796467,True
mooman_e052a,2026092422,0,254,COLLECT_CARE,44.36023712158203,9.357623589846195e-14,True,37.026634216308594,9.357623589846195e-14,True,11.084423065185547,0.0008359652129001915,True,3.743070363998413,0.1619647592306137,True
mooman_e052a,2026092422,1,254,COLLECT_CARE,43.41271209716797,9.357623589846195e-14,True,37.47941970825195,9.357623589846195e-14,True,8.404404640197754,0.00149260472971946,True,3.3086955547332764,0.04842760041356087,True
mooman_e052a,2026092423,0,254,COLLECT_CARE,8.5621976852417,9.357623589846195e-14,True,36.26085662841797,9.357623589846195e-14,True,7.50086784362793,0.009014352224767208,True,2.7249176502227783,0.13783539831638336,True
mooman_e052a,2026092423,1,254,COLLECT_CARE,8.192338943481445,9.357623589846195e-14,True,36.186214447021484,9.357623589846195e-14,True,7.655541896820068,0.004708231892436743,True,2.9408609867095947,0.12982022762298584,True
mooman_e052a,2026092424,0,242,COLLECT_DROP,43.664058685302734,9.357623589846195e-14,True,-3.5159518718719482,0.4129572808742523,False,-1.702314853668213,0.20239755511283875,False,-2.9919655323028564,0.4638746380805969,False
mooman_e052a,2026092424,1,242,COLLECT_DROP,43.49642562866211,9.357623589846195e-14,True,-2.8007240295410156,0.13870291411876678,False,-1.5118694305419922,0.10981712490320206,False,-2.5528032779693604,0.22100365161895752,False
qeinstein_moev2,2026092421,0,284,FERTILIZE_WATER,0.3924412131309509,9.357623589846195e-14,True,17.044767379760742,8.17019372334471e-06,True,0.9456627368927002,0.03391411900520325,True,5.015111923217773,0.013684958219528198,True
qeinstein_moev2,2026092421,1,287,FERTILIZE_WATER,23.359907150268555,9.357623589846195e-14,True,17.08715057373047,1.5047959323055693e-06,True,-0.031750649213790894,0.007300648372620344,False,5.677486896514893,0.027681350708007812,True
qeinstein_moev2,2026092422,0,279,FERTILIZE_WATER,20.156051635742188,9.357623589846195e-14,True,13.563227653503418,7.554879630333744e-06,True,-5.370766639709473,0.04970589280128479,False,1.8838882446289062,0.0029206336475908756,True
qeinstein_moev2,2026092422,1,279,FERTILIZE_WATER,6.599294185638428,9.357623589846195e-14,True,9.869531631469727,4.534071558737196e-05,True,-7.502689838409424,0.006041411776095629,False,-0.09705796837806702,0.00491638807579875,False
qeinstein_moev2,2026092423,0,254,COLLECT_CARE,13.602303504943848,9.357623589846195e-14,True,34.05586624145508,9.357623589846195e-14,True,6.911153793334961,0.0018639651825651526,True,1.1900848150253296,0.006595802027732134,True
qeinstein_moev2,2026092423,1,254,COLLECT_CARE,11.266748428344727,9.357623589846195e-14,True,32.053462982177734,9.357623589846195e-14,True,6.5167975425720215,0.005740756634622812,True,1.1094266176223755,0.08830656856298447,True
qeinstein_moev2,2026092424,0,286,FERTILIZE_WATER,2.60783052444458,9.357623589846195e-14,True,16.65887451171875,9.152698225989297e-07,True,4.4655232429504395,0.023051176220178604,True,5.07180643081665,0.03527357801795006,True
qeinstein_moev2,2026092424,1,287,FERTILIZE_WATER,20.816728591918945,9.357623589846195e-14,True,16.200782775878906,3.152956878693658e-06,True,0.11183393001556396,0.014256419613957405,False,5.416803359985352,0.049486108124256134,True
smart_farm,2026092421,0,279,FERTILIZE_WATER,1.9143158197402954,9.357623589846195e-14,True,14.809250831604004,2.0161037355137523e-06,True,-5.913366317749023,0.024395065382122993,False,3.252112865447998,0.0034349230118095875,True
smart_farm,2026092421,1,281,FERTILIZE_WATER,10.384474754333496,9.357623589846195e-14,True,12.607462882995605,5.9381432038208e-06,True,-7.489305019378662,0.00224144384264946,False,2.207066774368286,0.008333357982337475,True
smart_farm,2026092422,0,254,COLLECT_CARE,11.497583389282227,9.357623589846195e-14,True,38.287193298339844,9.357623589846195e-14,True,10.321256637573242,0.005314849317073822,True,4.223134994506836,0.17852599918842316,True
smart_farm,2026092422,1,254,COLLECT_CARE,8.968210220336914,9.357623589846195e-14,True,36.03196334838867,9.357623589846195e-14,True,8.833292007446289,0.0017162665026262403,True,2.3590736389160156,0.0844198539853096,True
smart_farm,2026092423,0,254,COLLECT_CARE,9.575432777404785,9.357623589846195e-14,True,37.67812728881836,9.357623589846195e-14,True,7.8727617263793945,0.019685368984937668,True,3.90962815284729,0.22058820724487305,False
smart_farm,2026092423,1,254,COLLECT_CARE,7.060723304748535,9.357623589846195e-14,True,35.49192428588867,9.357623589846195e-14,True,7.236076354980469,0.008758717216551304,True,2.0882065296173096,0.1121278926730156,True
smart_farm,2026092424,0,242,COLLECT_DROP,42.43492889404297,9.357623589846195e-14,True,-5.4551682472229,0.5584465861320496,False,-3.735352039337158,0.3242926001548767,False,-5.114257335662842,0.610851526260376,False
smart_farm,2026092424,1,242,COLLECT_DROP,42.50977325439453,9.357623589846195e-14,True,-5.52938175201416,0.5355544686317444,False,-3.8079874515533447,0.33987265825271606,False,-5.207472324371338,0.6016179919242859,False
souvik_v4,2026092421,0,279,FERTILIZE_WATER,1.9541199207305908,9.357623589846195e-14,True,14.686366081237793,2.7034525373892393e-06,True,-5.981441020965576,0.030583633109927177,False,3.151116132736206,0.004313659854233265,True
