episode_id,result,margin,all_filled_quantities_equal,sales_quantities_equal,selling_price_cash_difference,other_cash_difference,opponent_rating,wool_cash_difference,milk_cash_difference,strawberry_cash_difference
112710679,win,706.0,False,False,394.0,312.0,2202.1101225978305,4.0,658.0,-9.0
112713015,win,407.0,False,False,51.0,356.0,2270.999409500981,0.0,99.0,297.0
112713547,loss,-732.0,True,True,-732.0,0.0,2221.245733212917,-346.0,-462.0,20.0
112715478,draw,0.0,True,True,0.0,0.0,2358.674739497837,0.0,0.0,0.0
112721366,draw,0.0,True,True,0.0,0.0,2246.036817036868,0.0,0.0,0.0
112722513,loss,-800.0,True,True,-800.0,0.0,2282.033168905049,0.0,-60.0,-739.0
112723670,loss,-268.0,False,False,-624.0,356.0,2148.710653415917,-6.0,174.0,-502.0
112727153,loss,-1021.0,True,True,-1021.0,0.0,2099.7286740512127,-911.0,-110.0,0.0
112731810,win,126.0,False,False,-168.0,294.0,2154.867973969974,0.0,-65.0,176.0
112738825,loss,-602.0,False,False,-350.0,-252.0,2160.6617315787435,-3.0,-282.0,-390.0
112746444,win,8.0,False,False,-348.0,356.0,2178.5258871029405,0.0,0.0,0.0
112748339,loss,-2141.0,True,True,-2126.0,-15.0,2225.154038147267,-1130.0,-306.0,-707.0
112749577,draw,0.0,True,True,0.0,0.0,2272.309730708788,0.0,0.0,0.0
112751861,loss,-14.0,False,False,12.0,-26.0,2131.119976780766,0.0,0.0,0.0
