episode_id,seed,units_same,market_same,actions_same,first_units_difference,first_market_difference,shops_json,own_PASS,own_NORTH,own_SOUTH,own_PICKUP,own_WEST,own_BUILD_PASTURE,own_PLACE,own_PLANT,own_CARE,own_WATER,own_FEED,own_COLLECT_FERTILIZER,own_EAST,own_HARVEST,own_DROP,own_BUILD_COOP,own_DIG,own_FERTILIZE,opp_PASS,opp_NORTH,opp_SOUTH,opp_PICKUP,opp_WEST,opp_BUILD_PASTURE,opp_PLACE,opp_PLANT,opp_CARE,opp_WATER,opp_FEED,opp_COLLECT_FERTILIZER,opp_EAST,opp_HARVEST,opp_DROP,opp_BUILD_COOP,opp_DIG,opp_FERTILIZE,create_time,end_time,state,episode_type,agent_0_submission_id,agent_1_submission_id,agent_0_initial_score,agent_1_initial_score,agent_0_updated_score,agent_1_updated_score,submission_id,episode_state,submission_seat,opponent_submission_id,team_name,opponent_team_name,result,own_reward,opponent_reward,step_count,replay_status,agent_0_log_status,agent_1_log_status,replay_path,log_path,error,seat,opponent_id,own_before,own_after,opp_rating,margin
112695730,1267212450,2,15,0,2.0,1.0,"[[0, []], [72, [""SMOOTHIE_SHOP""]], [144, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP""]], [216, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE""]], [288, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""ICE_CREAM_SHOP""]], [360, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""ICE_CREAM_SHOP"", ""ICE_CREAM_SHOP""]], [432, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""ICE_CREAM_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE""]], [504, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""ICE_CREAM_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""SMOOTHIE_SHOP""]], [576, [""SMOOTHIE_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""ICE_CREAM_SHOP"", ""ICE_CREAM_SHOP"", ""PET_CAFE"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT""]]]",430,912,492,206,865,19,99,239,404,1097,345,379,585,477,52,,38,106,329,1604,893,253,1818,16,17,65,288,212,301,203,1437,131,,,39,10,2026-09-24T02:44:47.523174500Z,2026-09-24T02:49:32.478998900Z,COMPLETED,EPISODE_TYPE_PUBLIC,55266833,56509493,435.38313659959965,600.0,433.3848259126528,665.2509612064256,56509493,COMPLETED,1,,rsraki,Symekah Shadrack Basweti,win,180695.0,25192.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112695730.json,logs/round10_b1_herd_safe_submission_56509493/episode_112695730/agent_1_observation_logs.json,,1,55266833,600.0,665.2509612064256,435.38313659959965,155503.0
112696878,665547184,1,230,0,2.0,1.0,"[[0, []], [72, [""YARN_STORE""]], [144, [""YARN_STORE"", ""BAKERY""]], [216, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE""]], [288, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE"", ""SMOOTHIE_SHOP""]], [360, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP""]], [432, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""ICE_CREAM_SHOP""]], [504, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""ICE_CREAM_SHOP"", ""PIZZA_SHOP""]], [576, [""YARN_STORE"", ""BAKERY"", ""PET_CAFE"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""ICE_CREAM_SHOP"", ""PIZZA_SHOP"", ""BAKERY""]]]",666,937,580,155,894,17,110,239,397,1095,363,379,618,462,30,2.0,36,94,1010,849,513,145,923,14,14,174,308,925,300,296,655,360,56.0,,27,84,2026-09-24T02:48:43.024327400Z,2026-09-24T02:50:17.662449600Z,COMPLETED,EPISODE_TYPE_PUBLIC,56026800,56509493,782.7963317351299,665.2509612064256,778.3327513512791,811.0005247607407,56509493,COMPLETED,1,,rsraki,rupsa roy,win,105019.0,51969.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112696878.json,logs/round10_b1_herd_safe_submission_56509493/episode_112696878/agent_1_observation_logs.json,,1,56026800,665.2509612064256,811.0005247607407,782.7963317351299,53050.0
112698041,764938812,703,612,605,188.0,1.0,"[[0, []], [72, [""PIZZA_SHOP""]], [144, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP""]], [216, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP""]], [288, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""PET_CAFE""]], [360, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""BRUNCH_SPOT""]], [432, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""FARMERS_MARKET""]], [504, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""PET_CAFE""]], [576, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""PET_CAFE"", ""ICE_CREAM_SHOP""]]]",446,919,492,207,864,19,99,238,404,1098,324,376,588,481,53,,40,114,446,919,492,207,864,19,99,239,404,1098,324,376,588,481,53.0,,39,114,2026-09-24T02:52:46.763660600Z,2026-09-24T02:57:09.149368600Z,COMPLETED,EPISODE_TYPE_PUBLIC,56509493,56509408,927.2940997578486,855.4665525146556,1003.5383076781628,779.2223445943415,56509493,COMPLETED,0,,rsraki,月之光面,win,102111.0,102093.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112698041.json,logs/round10_b1_herd_safe_submission_56509493/episode_112698041/agent_0_observation_logs.json,,0,56509408,927.2940997578486,1003.5383076781628,855.4665525146556,18.0
112698051,7968312,3,185,0,2.0,1.0,"[[0, []], [72, [""PIZZA_SHOP""]], [144, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP""]], [216, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT""]], [288, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET""]], [360, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""SMOOTHIE_SHOP""]], [432, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""PET_CAFE""]], [504, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""PET_CAFE""]], [576, [""PIZZA_SHOP"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""PET_CAFE"", ""PET_CAFE"", ""BRUNCH_SPOT""]]]",444,914,493,207,868,14,99,239,404,1096,331,373,586,482,52,5.0,39,115,994,838,553,135,811,13,13,199,285,1010,290,296,634,390,57.0,,40,72,2026-09-24T02:52:46.784967600Z,2026-09-24T02:57:07.242366400Z,COMPLETED,EPISODE_TYPE_PUBLIC,56509493,55451086,811.0005247607407,836.0089920449848,927.2940997578486,832.4475013106984,56509493,COMPLETED,0,,rsraki,Narendra Sirvi,win,123460.0,96961.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112698051.json,logs/round10_b1_herd_safe_submission_56509493/episode_112698051/agent_0_observation_logs.json,,0,55451086,811.0005247607407,927.2940997578486,836.0089920449848,26499.0
112699185,828372367,6,120,0,2.0,1.0,"[[0, []], [72, [""PIZZA_SHOP""]], [144, [""PIZZA_SHOP"", ""FARMERS_MARKET""]], [216, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET""]], [288, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP""]], [360, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT""]], [432, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP""]], [504, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""BAKERY""]], [576, [""PIZZA_SHOP"", ""FARMERS_MARKET"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""BAKERY"", ""FARMERS_MARKET""]]]",542,916,509,211,904,14,108,249,405,1177,326,368,653,521,49,5.0,38,127,378,1236,929,339,1098,14,26,131,308,851,319,318,857,338,80.0,,25,107,2026-09-24T02:56:44.785726200Z,2026-09-24T03:02:00.129348600Z,COMPLETED,EPISODE_TYPE_PUBLIC,55245841,56509493,694.4069500875619,1003.5383076781628,693.2858918248862,1040.1442917655306,56509493,COMPLETED,1,,rsraki,Mounika Kommireddy,win,139881.0,83324.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112699185.json,logs/round10_b1_herd_safe_submission_56509493/episode_112699185/agent_1_observation_logs.json,,1,55245841,1003.5383076781628,1040.1442917655306,694.4069500875619,56557.0
112700362,1956154957,5,173,2,1.0,1.0,"[[0, []], [72, [""SMOOTHIE_SHOP""]], [144, [""SMOOTHIE_SHOP"", ""PET_CAFE""]], [216, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET""]], [288, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET"", ""BRUNCH_SPOT""]], [360, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""YARN_STORE""]], [432, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""ICE_CREAM_SHOP""]], [504, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT""]], [576, [""SMOOTHIE_SHOP"", ""PET_CAFE"", ""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT"", ""YARN_STORE""]]]",453,920,499,208,872,14,99,239,404,1099,323,375,587,483,52,5.0,38,118,667,1006,624,129,1046,14,55,187,318,947,321,306,809,394,10.0,,17,64,2026-09-24T03:00:49.149085800Z,2026-09-24T03:02:51.456818900Z,COMPLETED,EPISODE_TYPE_PUBLIC,56509493,55607539,1040.1442917655306,989.8917317024318,1134.5374796111282,987.0009403246604,56509493,COMPLETED,0,,rsraki,sokoranohimazin,win,118308.0,84612.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112700362.json,logs/round10_b1_herd_safe_submission_56509493/episode_112700362/agent_0_observation_logs.json,,0,55607539,1040.1442917655306,1134.5374796111282,989.8917317024318,33696.0
112701496,716390917,715,692,689,497.0,92.0,"[[0, []], [72, [""FARMERS_MARKET""]], [144, [""FARMERS_MARKET"", ""BRUNCH_SPOT""]], [216, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE""]], [288, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT""]], [360, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""YARN_STORE""]], [432, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""BRUNCH_SPOT""]], [504, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""BRUNCH_SPOT"", ""PET_CAFE""]], [576, [""FARMERS_MARKET"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT"", ""YARN_STORE"", ""BRUNCH_SPOT"", ""PET_CAFE"", ""BRUNCH_SPOT""]]]",458,923,504,209,879,12,98,239,407,1103,310,368,588,492,53,7.0,36,123,454,923,504,209,879,12,98,239,407,1103,310,368,588,492,53.0,7.0,36,127,2026-09-24T03:04:55.579349300Z,2026-09-24T03:08:44.654382300Z,COMPLETED,EPISODE_TYPE_PUBLIC,56509493,56509298,1198.498168923115,1232.8908683449424,1295.9842390748413,1135.404798193216,56509493,COMPLETED,0,,rsraki,Vlad Kochetov,win,99687.0,99344.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112701496.json,logs/round10_b1_herd_safe_submission_56509493/episode_112701496/agent_0_observation_logs.json,,0,56509298,1198.498168923115,1295.9842390748413,1232.8908683449424,343.0
112701506,410602831,3,185,0,2.0,1.0,"[[0, []], [72, [""SMOOTHIE_SHOP""]], [144, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT""]], [216, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP""]], [288, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""SMOOTHIE_SHOP""]], [360, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP""]], [432, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""PIZZA_SHOP""]], [504, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""PIZZA_SHOP"", ""YARN_STORE""]], [576, [""SMOOTHIE_SHOP"", ""BRUNCH_SPOT"", ""ICE_CREAM_SHOP"", ""SMOOTHIE_SHOP"", ""PIZZA_SHOP"", ""PIZZA_SHOP"", ""YARN_STORE"", ""YARN_STORE""]]]",433,907,492,205,862,14,99,239,404,1097,341,373,580,482,52,5.0,38,100,937,847,560,134,823,13,41,199,285,1010,290,293,659,390,58.0,,41,72,2026-09-24T03:04:55.631799300Z,2026-09-24T03:08:11.633495300Z,COMPLETED,EPISODE_TYPE_PUBLIC,56509493,55777301,1134.5374796111282,964.3039950834326,1198.498168923115,962.345198973253,56509493,COMPLETED,0,,rsraki,Harish K,win,156189.0,136532.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112701506.json,logs/round10_b1_herd_safe_submission_56509493/episode_112701506/agent_0_observation_logs.json,,0,55777301,1134.5374796111282,1198.498168923115,964.3039950834326,19657.0
112702653,748137612,27,219,5,3.0,1.0,"[[0, []], [72, [""SMOOTHIE_SHOP""]], [144, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP""]], [216, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY""]], [288, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY"", ""BAKERY""]], [360, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY"", ""BAKERY"", ""FARMERS_MARKET""]], [432, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY"", ""BAKERY"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP""]], [504, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY"", ""BAKERY"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT""]], [576, [""SMOOTHIE_SHOP"", ""SMOOTHIE_SHOP"", ""BAKERY"", ""BAKERY"", ""FARMERS_MARKET"", ""ICE_CREAM_SHOP"", ""BRUNCH_SPOT"", ""FARMERS_MARKET""]]]",449,921,494,208,873,14,99,239,404,1098,333,373,588,482,52,5.0,38,118,707,931,559,146,894,17,109,239,399,1101,384,376,601,459,16.0,2.0,36,61,2026-09-24T03:08:55.976125200Z,2026-09-24T03:11:51.050598500Z,COMPLETED,EPISODE_TYPE_PUBLIC,56483261,56509493,1232.4487625925974,1295.9842390748413,1229.4566493755865,1386.6846083729713,56509493,COMPLETED,1,,rsraki,Pranav Thota,win,121751.0,99260.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112702653.json,logs/round10_b1_herd_safe_submission_56509493/episode_112702653/agent_1_observation_logs.json,,1,56483261,1295.9842390748413,1386.6846083729713,1232.4487625925974,22491.0
112703812,1626506321,364,276,192,3.0,1.0,"[[0, []], [72, [""FARMERS_MARKET""]], [144, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP""]], [216, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE""]], [288, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE"", ""PIZZA_SHOP""]], [360, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE"", ""PIZZA_SHOP"", ""BAKERY""]], [432, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE"", ""PIZZA_SHOP"", ""BAKERY"", ""YARN_STORE""]], [504, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE"", ""PIZZA_SHOP"", ""BAKERY"", ""YARN_STORE"", ""SMOOTHIE_SHOP""]], [576, [""FARMERS_MARKET"", ""SMOOTHIE_SHOP"", ""YARN_STORE"", ""PIZZA_SHOP"", ""BAKERY"", ""YARN_STORE"", ""SMOOTHIE_SHOP"", ""BRUNCH_SPOT""]]]",452,923,498,209,882,19,99,239,404,1097,328,379,588,477,52,,38,125,479,930,495,202,872,14,96,239,389,1095,372,388,583,480,48.0,5.0,35,61,2026-09-24T03:12:45.024997700Z,2026-09-24T03:16:21.323936300Z,COMPLETED,EPISODE_TYPE_PUBLIC,56299117,56509493,1400.557700612794,1386.6846083729713,1397.099227203916,1499.614352336325,56509493,COMPLETED,1,,rsraki,baojidehuangmao,win,109986.0,97581.0,720,downloaded,extracted_empty,extracted_empty,replays/round10_b1_herd_safe_submission_56509493/episode_112703812.json,logs/round10_b1_herd_safe_submission_56509493/episode_112703812/agent_1_observation_logs.json,,1,56299117,1386.6846083729713,1499.614352336325,1400.557700612794,12405.0
