opponent_id,arm,n,w,l,tie,margin
ahmed_v57,B1_buy8_sell3,8,6,2,0,112.875
ahmed_v57,B2_buy10_sell5,8,6,2,0,116.875
herd_safe_B1,B1_buy8_sell3,8,1,1,6,0.0
herd_safe_B1,B2_buy10_sell5,8,1,7,0,-2.0
melon_threshold,B1_buy8_sell3,8,8,0,0,4560.75
melon_threshold,B2_buy10_sell5,8,8,0,0,4558.75
metav4,B1_buy8_sell3,8,8,0,0,438.5
metav4,B2_buy10_sell5,8,8,0,0,442.5
order_book,B1_buy8_sell3,8,8,0,0,86.5
order_book,B2_buy10_sell5,8,8,0,0,90.5
qeinstein_moev2,B1_buy8_sell3,8,8,0,0,19650.625
qeinstein_moev2,B2_buy10_sell5,8,8,0,0,20464.875
