episode_id,sid,opponent_rating,result,margin,item,own_sales,opp_sales,own_buy,opp_buy,delta_sales,net_delta,own_qty,opp_qty
111215310,56384917,1659.5518656011288,loss,-6694.0,WHEAT,10046,10841,7013,5999,-795,-1809,307,318
111215310,56384917,1659.5518656011288,loss,-6694.0,CARROT,5045,11325,620,1320,-6280,-5580,84,186
111215310,56384917,1659.5518656011288,loss,-6694.0,TOMATO,0,0,0,0,0,0,0,0
111215310,56384917,1659.5518656011288,loss,-6694.0,STRAWBERRY,20038,19963,3300,3300,75,75,249,247
111215310,56384917,1659.5518656011288,loss,-6694.0,MELON,14267,14267,960,960,0,0,72,72
111215310,56384917,1659.5518656011288,loss,-6694.0,EGG,3974,4417,900,900,-443,-443,78,86
111215310,56384917,1659.5518656011288,loss,-6694.0,MILK,10829,10554,3200,3200,275,275,245,188
111215310,56384917,1659.5518656011288,loss,-6694.0,WOOL,27819,28674,3000,3000,-855,-855,161,161
111215310,56384917,1659.5518656011288,loss,-6694.0,FERTILIZER,14909,14489,1856,2401,420,965,348,341
111215310,56384917,1659.5518656011288,loss,-6694.0,HIRE,0,0,3630,4308,0,678,0,0
111215310,56384917,1659.5518656011288,loss,-6694.0,BUY_LAND,0,0,3000,3000,0,0,0,0
111208123,56384917,1579.4097980833496,win,15313.0,WHEAT,12365,17104,7137,7435,-4739,-4441,311,426
111208123,56384917,1579.4097980833496,win,15313.0,CARROT,2088,3411,620,780,-1323,-1163,84,125
111208123,56384917,1579.4097980833496,win,15313.0,TOMATO,0,0,0,0,0,0,0,0
111208123,56384917,1579.4097980833496,win,15313.0,STRAWBERRY,23041,22213,3300,3300,828,828,249,251
111208123,56384917,1579.4097980833496,win,15313.0,MELON,14643,13385,960,880,1258,1178,72,66
111208123,56384917,1579.4097980833496,win,15313.0,EGG,4182,3965,900,900,217,217,78,74
111208123,56384917,1579.4097980833496,win,15313.0,MILK,59722,42032,3200,3200,17690,17690,245,175
111208123,56384917,1579.4097980833496,win,15313.0,WOOL,5552,5540,3000,3000,12,12,161,161
111208123,56384917,1579.4097980833496,win,15313.0,FERTILIZER,14553,14667,1810,2238,-114,314,354,352
111208123,56384917,1579.4097980833496,win,15313.0,HIRE,0,0,3630,4308,0,678,0,0
111208123,56384917,1579.4097980833496,win,15313.0,BUY_LAND,0,0,3000,3000,0,0,0,0
111206959,56384917,1555.124556398968,win,773.0,WHEAT,15894,11118,7213,6990,4776,4553,430,301
111206959,56384917,1555.124556398968,win,773.0,CARROT,4650,4137,620,620,513,513,94,84
111206959,56384917,1555.124556398968,win,773.0,TOMATO,0,0,0,0,0,0,0,0
111206959,56384917,1555.124556398968,win,773.0,STRAWBERRY,10855,10971,3300,3300,-116,-116,237,249
111206959,56384917,1555.124556398968,win,773.0,MELON,14267,14267,960,960,0,0,72,72
111206959,56384917,1555.124556398968,win,773.0,EGG,3879,4592,900,900,-713,-713,66,78
111206959,56384917,1555.124556398968,win,773.0,MILK,9641,9593,3200,3200,48,48,206,243
111206959,56384917,1555.124556398968,win,773.0,WOOL,17056,17885,3000,3000,-829,-829,147,161
111206959,56384917,1555.124556398968,win,773.0,FERTILIZER,14870,15289,3125,1916,-419,-1628,342,349
111206959,56384917,1555.124556398968,win,773.0,HIRE,0,0,4685,3630,0,-1055,0,0
111206959,56384917,1555.124556398968,win,773.0,BUY_LAND,0,0,3000,3000,0,0,0,0
111205847,56384917,1559.2817901259095,loss,-10983.0,WHEAT,12020,16998,5946,8982,-4978,-1942,307,410
111205847,56384917,1559.2817901259095,loss,-10983.0,CARROT,3563,1155,620,220,2408,2008,84,27
111205847,56384917,1559.2817901259095,loss,-10983.0,TOMATO,0,3343,0,200,-3343,-3143,0,28
111205847,56384917,1559.2817901259095,loss,-10983.0,STRAWBERRY,26008,16271,3300,2900,9737,9337,247,198
111205847,56384917,1559.2817901259095,loss,-10983.0,MELON,16401,12218,960,960,4183,4183,72,72
111205847,56384917,1559.2817901259095,loss,-10983.0,EGG,0,0,0,0,0,0,0,0
