arm,anchor,seed,seat,side,metric,count
round5_learned,v122,2026102201,0,learner,market:BUY_PRODUCT:WHEAT,60
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_PRODUCT:WHEAT,180
round5_learned,v122,2026102201,0,learner,actor:PASS,105
round5_learned,v122,2026102201,0,learner,market:SELL:WHEAT,53
round5_learned,v122,2026102201,0,learner,market_requested_units:SELL:WHEAT,213
round5_learned,v122,2026102201,0,learner,market:HIRE,191
round5_learned,v122,2026102201,0,learner,actor:PICKUP,109
round5_learned,v122,2026102201,0,learner,market:BUY_SEED:MELON,12
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_SEED:MELON,24
round5_learned,v122,2026102201,0,learner,actor:NORTH,925
round5_learned,v122,2026102201,0,learner,actor:PLANT,80
round5_learned,v122,2026102201,0,learner,actor:WEST,1026
round5_learned,v122,2026102201,0,learner,actor:WATER,468
round5_learned,v122,2026102201,0,learner,market:BUY_SEED:WHEAT,165
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_SEED:WHEAT,165
round5_learned,v122,2026102201,0,learner,actor:EAST,921
round5_learned,v122,2026102201,0,learner,market:BUY_SEED:STRAWBERRY,64
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_SEED:STRAWBERRY,64
round5_learned,v122,2026102201,0,learner,actor:SOUTH,1337
round5_learned,v122,2026102201,0,learner,actor:HARVEST,66
round5_learned,v122,2026102201,0,learner,actor:DIG,29
round5_learned,v122,2026102201,0,learner,actor:DROP,3
round5_learned,v122,2026102201,0,learner,market:SELL:MELON,11
round5_learned,v122,2026102201,0,learner,market_requested_units:SELL:MELON,65
round5_learned,v122,2026102201,0,learner,market:BUY_SEED:TOMATO,3
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_SEED:TOMATO,3
round5_learned,v122,2026102201,0,learner,actor:PLACE,3
round5_learned,v122,2026102201,0,learner,market:SELL:STRAWBERRY,14
round5_learned,v122,2026102201,0,learner,market_requested_units:SELL:STRAWBERRY,39
round5_learned,v122,2026102201,0,learner,market:BUY_PRODUCT:FERTILIZER,1
round5_learned,v122,2026102201,0,learner,market_requested_units:BUY_PRODUCT:FERTILIZER,1
round5_learned,v122,2026102201,0,learner,market:SELL:FERTILIZER,1
round5_learned,v122,2026102201,0,learner,market_requested_units:SELL:FERTILIZER,1
round5_learned,v122,2026102201,0,opponent,market:BUY_PRODUCT:WHEAT,44
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_PRODUCT:WHEAT,161
round5_learned,v122,2026102201,0,opponent,market:SELL:WHEAT,53
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:WHEAT,8286
round5_learned,v122,2026102201,0,opponent,actor:PASS,423
round5_learned,v122,2026102201,0,opponent,market:HIRE,260
round5_learned,v122,2026102201,0,opponent,market:BUY_ANIMAL:COW,6
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_ANIMAL:COW,8
round5_learned,v122,2026102201,0,opponent,market:BUY_ANIMAL:SHEEP,4
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_ANIMAL:SHEEP,6
round5_learned,v122,2026102201,0,opponent,actor:NORTH,896
round5_learned,v122,2026102201,0,opponent,actor:SOUTH,490
round5_learned,v122,2026102201,0,opponent,actor:PICKUP,201
round5_learned,v122,2026102201,0,opponent,actor:BUILD_PASTURE,14
round5_learned,v122,2026102201,0,opponent,actor:PLACE,97
round5_learned,v122,2026102201,0,opponent,actor:WEST,839
round5_learned,v122,2026102201,0,opponent,actor:CARE,409
round5_learned,v122,2026102201,0,opponent,market:BUY_SEED:MELON,7
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_SEED:MELON,12
round5_learned,v122,2026102201,0,opponent,actor:PLANT,239
round5_learned,v122,2026102201,0,opponent,actor:WATER,1109
round5_learned,v122,2026102201,0,opponent,actor:FEED,364
round5_learned,v122,2026102201,0,opponent,market:BUY_SEED:WHEAT,132
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_SEED:WHEAT,163
round5_learned,v122,2026102201,0,opponent,actor:COLLECT_FERTILIZER,371
round5_learned,v122,2026102201,0,opponent,market:SELL:FERTILIZER,92
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:FERTILIZER,1363
round5_learned,v122,2026102201,0,opponent,actor:EAST,560
round5_learned,v122,2026102201,0,opponent,actor:HARVEST,478
round5_learned,v122,2026102201,0,opponent,actor:DROP,49
round5_learned,v122,2026102201,0,opponent,market:EMPTY,22
round5_learned,v122,2026102201,0,opponent,market:BUY_SEED:STRAWBERRY,25
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_SEED:STRAWBERRY,33
round5_learned,v122,2026102201,0,opponent,market:SELL:WOOL,34
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:WOOL,185
round5_learned,v122,2026102201,0,opponent,market:BUY_LAND,2
round5_learned,v122,2026102201,0,opponent,market:BUY_PRODUCT:FERTILIZER,20
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_PRODUCT:FERTILIZER,46
round5_learned,v122,2026102201,0,opponent,market:SELL:MILK,53
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:MILK,2233
round5_learned,v122,2026102201,0,opponent,market:BUY_ANIMAL:GOOSE,2
round5_learned,v122,2026102201,0,opponent,market_requested_units:BUY_ANIMAL:GOOSE,3
round5_learned,v122,2026102201,0,opponent,market:SELL:MELON,7
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:MELON,72
round5_learned,v122,2026102201,0,opponent,actor:BUILD_COOP,5
round5_learned,v122,2026102201,0,opponent,actor:FERTILIZE,64
round5_learned,v122,2026102201,0,opponent,market:SELL:EGG,18
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:EGG,12030
round5_learned,v122,2026102201,0,opponent,actor:DIG,35
round5_learned,v122,2026102201,0,opponent,market:SELL:STRAWBERRY,45
round5_learned,v122,2026102201,0,opponent,market_requested_units:SELL:STRAWBERRY,293
