head,split,class,support,correct,predicted,recall,precision
actor_token,validation,PASS,999,849,1618,0.8498498498498499,0.5247218788627935
actor_token,validation,NORTH,19423,13614,19207,0.7009215878082685,0.7088040818451606
actor_token,validation,SOUTH,11576,7714,12756,0.6663787145818936,0.6047350266541236
actor_token,validation,EAST,11988,6965,9873,0.5809976643309976,0.705459333535906
actor_token,validation,WEST,16474,9451,12917,0.5736918781109628,0.7316714407370133
actor_token,validation,WATER,24095,22726,24691,0.9431832330358996,0.9204163460370175
actor_token,validation,HARVEST,8906,7794,9662,0.8751403548169773,0.8066652866901263
actor_token,validation,FERTILIZE,2789,2431,3315,0.8716385801362495,0.7333333333333333
actor_token,validation,CARE,5730,5570,5752,0.9720767888307156,0.9683588317107094
actor_token,validation,FEED,5477,5325,5842,0.9722475807924046,0.9115029099623416
actor_token,validation,COLLECT_FERTILIZER,6596,6195,6713,0.939205579138872,0.9228362877997914
actor_token,validation,DIG,588,531,1258,0.9030612244897959,0.4220985691573927
actor_token,validation,DROP,1308,1273,1497,0.9732415902140673,0.8503674014696059
actor_token,validation,BUILD_COOP,24,24,31,1.0,0.7741935483870968
actor_token,validation,BUILD_PASTURE,259,258,269,0.9961389961389961,0.9591078066914498
actor_token,validation,PLANT:WHEAT,2848,2425,2760,0.8514747191011236,0.8786231884057971
actor_token,validation,PLANT:CARROT,1183,1051,1348,0.8884192730346576,0.7796735905044511
actor_token,validation,PLANT:TOMATO,174,117,246,0.6724137931034483,0.47560975609756095
actor_token,validation,PLANT:STRAWBERRY,506,463,631,0.9150197628458498,0.7337559429477021
actor_token,validation,PLANT:MELON,215,210,236,0.9767441860465116,0.8898305084745762
actor_token,validation,PICKUP:WHEAT,3085,2896,3358,0.9387358184764992,0.8624181060154854
actor_token,validation,PICKUP:CARROT,0,0,0,,
actor_token,validation,PICKUP:TOMATO,0,0,0,,
actor_token,validation,PICKUP:STRAWBERRY,0,0,0,,
actor_token,validation,PICKUP:MELON,0,0,0,,
actor_token,validation,PICKUP:EGG,0,0,0,,
actor_token,validation,PICKUP:MILK,0,0,0,,
actor_token,validation,PICKUP:WOOL,0,0,0,,
actor_token,validation,PICKUP:FERTILIZER,0,0,0,,
actor_token,validation,PICKUP:GOOSE,29,29,29,1.0,1.0
actor_token,validation,PICKUP:COW,321,318,389,0.9906542056074766,0.8174807197943444
actor_token,validation,PICKUP:SHEEP,131,121,161,0.9236641221374046,0.7515527950310559
actor_token,validation,PLACE:WHEAT,0,0,0,,
actor_token,validation,PLACE:CARROT,0,0,0,,
actor_token,validation,PLACE:TOMATO,0,0,0,,
actor_token,validation,PLACE:STRAWBERRY,0,0,0,,
actor_token,validation,PLACE:MELON,1,0,1,0.0,0.0
actor_token,validation,PLACE:EGG,0,0,0,,
actor_token,validation,PLACE:MILK,498,496,536,0.9959839357429718,0.9253731343283582
actor_token,validation,PLACE:WOOL,202,198,215,0.9801980198019802,0.9209302325581395
actor_token,validation,PLACE:FERTILIZER,1038,1029,1100,0.9913294797687862,0.9354545454545454
actor_token,validation,PLACE:GOOSE,15,15,15,1.0,1.0
actor_token,validation,PLACE:COW,217,216,235,0.9953917050691244,0.9191489361702128
actor_token,validation,PLACE:SHEEP,104,103,138,0.9903846153846154,0.7463768115942029
actor_token,test,PASS,978,806,1531,0.8241308793456033,0.5264532984977139
actor_token,test,NORTH,19499,13698,19260,0.7024975639776398,0.711214953271028
actor_token,test,SOUTH,11708,7816,13090,0.6675777246327298,0.5970970206264324
actor_token,test,EAST,12085,7060,10100,0.5841952834091849,0.699009900990099
actor_token,test,WEST,16460,9291,12696,0.5644592952612394,0.7318052930056711
actor_token,test,WATER,24142,22725,24618,0.9413056084831414,0.9231050450889593
actor_token,test,HARVEST,8930,7795,9722,0.8729003359462486,0.8017897551944044
actor_token,test,FERTILIZE,2712,2343,3259,0.8639380530973452,0.7189321877876649
actor_token,test,CARE,5614,5455,5639,0.9716779479871749,0.967370101081752
actor_token,test,FEED,5512,5389,5923,0.9776850507982583,0.9098429849738309
actor_token,test,COLLECT_FERTILIZER,6361,6015,6480,0.9456060367866688,0.9282407407407407
actor_token,test,DIG,611,549,1319,0.8985270049099836,0.4162244124336619
actor_token,test,DROP,1306,1265,1510,0.9686064318529862,0.8377483443708609
actor_token,test,BUILD_COOP,23,22,38,0.9565217391304348,0.5789473684210527
actor_token,test,BUILD_PASTURE,284,284,286,1.0,0.993006993006993
actor_token,test,PLANT:WHEAT,2835,2411,2710,0.8504409171075837,0.8896678966789668
actor_token,test,PLANT:CARROT,1259,1098,1403,0.8721207307386815,0.782608695652174
actor_token,test,PLANT:TOMATO,165,98,254,0.593939393939394,0.3858267716535433
actor_token,test,PLANT:STRAWBERRY,541,489,657,0.9038817005545287,0.7442922374429224
actor_token,test,PLANT:MELON,209,205,247,0.9808612440191388,0.8299595141700404
actor_token,test,PICKUP:WHEAT,2899,2676,3187,0.9230769230769231,0.839661123313461
actor_token,test,PICKUP:CARROT,0,0,0,,
actor_token,test,PICKUP:TOMATO,0,0,0,,
actor_token,test,PICKUP:STRAWBERRY,0,0,0,,
